t,x,y,yaw,state,front,back,left,right
5.24,8.978158036950599e-14,-8.92165574411588e-23,-1.1057190718588572e-09,NAV_TO_CUBE,inf,inf,inf,inf
5.27,8.978158036950599e-14,-8.92165574411588e-23,-1.1057190718588572e-09,NAV_TO_CUBE,3.3062310218811035,0.9500145316123962,1.1029540300369263,1.1029542684555054
5.31,8.978158036950599e-14,-8.92165574411588e-23,-1.1057190718588572e-09,NAV_TO_CUBE,3.3062310218811035,0.9500145316123962,1.1029540300369263,1.1029542684555054
5.34,8.978158036950599e-14,-8.92165574411588e-23,-1.1057190718588572e-09,NAV_TO_CUBE,3.3062310218811035,0.9500145316123962,1.1029540300369263,1.1029542684555054
5.37,0.0004728670632266696,-4.723511135065673e-13,-1.060403764796547e-09,NAV_TO_CUBE,3.3062310218811035,0.9500145316123962,1.1029540300369263,1.1029542684555054
5.41,0.008943510585572328,8.2706036706538e-06,0.0014582953836637105,NAV_TO_CUBE,3.3062310218811035,0.9500145316123962,1.1029540300369263,1.1029542684555054
5.44,0.024273739659521096,2.9047611665939522e-05,0.0014232486029275297,NAV_TO_CUBE,3.2940673828125,0.9682807922363281,1.123199701309204,1.1251366138458252
5.47,0.04791763368930307,6.0276722897675386e-05,0.0013707249477010748,NAV_TO_CUBE,3.2940673828125,0.9682807922363281,1.123199701309204,1.1251366138458252
5.51,0.08372216455848937,0.00010799817242867195,0.0013036291449561868,NAV_TO_CUBE,3.2767953872680664,1.0143030881881714,1.1766515970230103,1.1785470247268677
5.54,0.11072108886261856,0.00014279268660896422,0.0012546557575512367,NAV_TO_CUBE,3.2767953872680664,1.0143030881881714,1.1766515970230103,1.1785470247268677
5.57,0.1376769477450337,0.0001762718882505175,0.0012064519529686464,NAV_TO_CUBE,3.212878465652466,1.073505163192749,1.2454088926315308,1.247254490852356
5.61,0.17364678295532357,0.00021892718777702212,0.0011451071398269623,NAV_TO_CUBE,3.212878465652466,1.073505163192749,1.2454088926315308,1.247254490852356
5.64,0.20064472866557242,0.00024947712660845756,0.0011005041089835474,NAV_TO_CUBE,3.1470582485198975,1.144973635673523,1.3284058570861816,1.330204963684082
5.67,0.22763955695901472,0.0002793724280253684,0.0011596093271690753,NAV_TO_CUBE,3.1470582485198975,1.144973635673523,1.3284058570861816,1.330204963684082
